symbol,date,close,high,low,open
AAPL,2021-02-01 19:00:00+00:00,134.535,134.75,134.46,134.74
AAPL,2021-02-01 19:05:00+00:00,134.71,134.765,134.39,134.535
AAPL,2021-02-01 19:10:00+00:00,134.52,134.73,134.44,134.715
AAPL,2021-02-01 19:15:00+00:00,134.41,134.665,134.4,134.51
AAPL,2021-02-01 19:20:00+00:00,134.165,134.42,133.975,134.41
AAPL,2021-02-01 19:25:00+00:00,134.42,134.44,134.165,134.165
AAPL,2021-02-01 19:30:00+00:00,134.24,134.415,134.17,134.41
AAPL,2021-02-01 19:35:00+00:00,133.91,134.31,133.89,134.245
AAPL,2021-02-01 19:40:00+00:00,134.36,134.39,133.915,133.92
AAPL,2021-02-01 19:45:00+00:00,134.445,134.52,134.3,134.38
AAPL,2021-02-01 19:50:00+00:00,134.42,134.575,134.31,134.445
AAPL,2021-02-01 19:55:00+00:00,134.23,134.46,134.065,134.42
AAPL,2021-02-01 20:00:00+00:00,134.495,134.51,134.23,134.235
AAPL,2021-02-01 20:05:00+00:00,134.46,134.575,134.35,134.49
AAPL,2021-02-01 20:10:00+00:00,134.38,134.52,134.18,134.51
AAPL,2021-02-01 20:15:00+00:00,134.375,134.46,134.235,134.38
AAPL,2021-02-01 20:20:00+00:00,134.37,134.445,134.25,134.4
AAPL,2021-02-01 20:25:00+00:00,134.43,134.495,134.28,134.375
AAPL,2021-02-01 20:30:00+00:00,134.48,134.49,134.24,134.42
AAPL,2021-02-01 20:35:00+00:00,134.74,134.75,134.475,134.48
AAPL,2021-02-01 20:40:00+00:00,134.765,134.84,134.58,134.73
AAPL,2021-02-01 20:45:00+00:00,134.6,134.73,134.52,134.72
AAPL,2021-02-01 20:50:00+00:00,134.42,134.61,134.135,134.6
AAPL,2021-02-01 20:55:00+00:00,134.06,134.385,134.06,134.385
AAPL,2021-02-01 21:00:00+00:00,134.06,134.06,134.06,134.06
AAPL,2021-02-02 14:30:00+00:00,135.96,136.29,135.53,135.75
AAPL,2021-02-02 14:35:00+00:00,135.75,136.135,135.41,135.96
AAPL,2021-02-02 14:40:00+00:00,135.64,135.815,135.325,135.8
AAPL,2021-02-02 14:45:00+00:00,135.24,135.86,135.24,135.675
AAPL,2021-02-02 14:50:00+00:00,135.28,135.35,134.96,135.235
AAPL,2021-02-02 14:55:00+00:00,135.445,135.67,135.17,135.31
AAPL,2021-02-02 15:00:00+00:00,135.365,135.7,135.28,135.455
AAPL,2021-02-02 15:05:00+00:00,135.6,135.62,135.11,135.365
AAPL,2021-02-02 15:10:00+00:00,135.825,135.92,135.465,135.605
AAPL,2021-02-02 15:15:00+00:00,136.01,136.02,135.49,135.83
AAPL,2021-02-02 15:20:00+00:00,135.66,136.025,135.63,136.015
AAPL,2021-02-02 15:25:00+00:00,135.15,135.73,135.15,135.67
AAPL,2021-02-02 15:30:00+00:00,135.26,135.4,135.11,135.23
AAPL,2021-02-02 15:35:00+00:00,135.15,135.37,135.015,135.255
AAPL,2021-02-02 15:40:00+00:00,135.22,135.32,135.03,135.16
AAPL,2021-02-02 15:45:00+00:00,135.45,135.505,135.085,135.205
AAPL,2021-02-02 15:50:00+00:00,135.605,135.64,135.255,135.445
AAPL,2021-02-02 15:55:00+00:00,135.47,135.695,135.42,135.605
AAPL,2021-02-02 16:00:00+00:00,135.335,135.525,135.18,135.475
AAPL,2021-02-02 16:05:00+00:00,135.35,135.405,135.255,135.34
AAPL,2021-02-02 16:10:00+00:00,135.39,135.445,135.14,135.365
AAPL,2021-02-02 16:15:00+00:00,135.605,135.605,135.34,135.375
AAPL,2021-02-02 16:20:00+00:00,135.395,135.66,135.32,135.605
AAPL,2021-02-02 16:25:00+00:00,135.24,135.415,135.21,135.39
AAPL,2021-02-02 16:30:00+00:00,135.05,135.285,134.915,135.26
AAPL,2021-02-02 16:35:00+00:00,135.065,135.18,134.96,135.07
AAPL,2021-02-02 16:40:00+00:00,135.03,135.07,134.85,135.055
AAPL,2021-02-02 16:45:00+00:00,135.11,135.155,134.93,135.035
AAPL,2021-02-02 16:50:00+00:00,134.965,135.16,134.905,135.115
AAPL,2021-02-02 16:55:00+00:00,135.03,135.125,134.94,134.99
AAPL,2021-02-02 17:00:00+00:00,135.07,135.18,135.01,135.035
AAPL,2021-02-02 17:05:00+00:00,135.145,135.27,135.0,135.08
AAPL,2021-02-02 17:10:00+00:00,135.13,135.185,135.0,135.14
AAPL,2021-02-02 17:15:00+00:00,134.995,135.165,134.955,135.14
AAPL,2021-02-02 17:20:00+00:00,135.075,135.115,134.98,134.99
AAPL,2021-02-02 17:25:00+00:00,135.26,135.29,135.05,135.06
AAPL,2021-02-02 17:30:00+00:00,135.27,135.47,135.21,135.27
AAPL,2021-02-02 17:35:00+00:00,135.225,135.32,135.155,135.27
AAPL,2021-02-02 17:40:00+00:00,135.215,135.315,135.145,135.2
AAPL,2021-02-02 17:45:00+00:00,135.14,135.275,135.07,135.22
AAPL,2021-02-02 17:50:00+00:00,135.005,135.14,134.95,135.14
AAPL,2021-02-02 17:55:00+00:00,135.01,135.05,134.91,135.01
AAPL,2021-02-02 18:00:00+00:00,134.995,135.035,134.91,135.01
AAPL,2021-02-02 18:05:00+00:00,134.95,135.08,134.95,134.995
AAPL,2021-02-02 18:10:00+00:00,134.91,135.005,134.86,134.945
AAPL,2021-02-02 18:15:00+00:00,134.665,134.975,134.65,134.91
AAPL,2021-02-02 18:20:00+00:00,134.685,134.72,134.635,134.66
AAPL,2021-02-02 18:25:00+00:00,134.765,134.835,134.68,134.69
AAPL,2021-02-02 18:30:00+00:00,134.92,134.97,134.725,134.765
AAPL,2021-02-02 18:35:00+00:00,135.005,135.005,134.84,134.925
AAPL,2021-02-02 18:40:00+00:00,135.115,135.115,134.97,134.995
AAPL,2021-02-02 18:45:00+00:00,135.02,135.17,135.0,135.115
AAPL,2021-02-02 18:50:00+00:00,135.025,135.085,134.975,135.015
AAPL,2021-02-02 18:55:00+00:00,134.98,135.095,134.93,135.025
AAPL,2021-02-02 19:00:00+00:00,134.92,135.045,134.9,134.985
AAPL,2021-02-02 19:05:00+00:00,134.97,135.045,134.86,134.93
AAPL,2021-02-02 19:10:00+00:00,134.975,135.04,134.92,134.975
AAPL,2021-02-02 19:15:00+00:00,134.97,135.03,134.83,134.98
AAPL,2021-02-02 19:20:00+00:00,135.005,135.11,134.97,134.97
AAPL,2021-02-02 19:25:00+00:00,135.06,135.06,134.965,135.005
AAPL,2021-02-02 19:30:00+00:00,134.9,135.08,134.9,135.06
